06/12-05:01:19.389070 ,1,2100538,17,"GPL NETBIOS SMB IPC$ unicode share access",TCP,192.168.2.106,2983,192.168.2.113,139,00:11:25:B9:A7:ED,00:09:6B:E9:D0:88,0x8E,***AP***,0x7DD00E6A,0x20EFAAD0,20,0x427B,128,0,61415,128,131072,,,
06/12-05:01:30.150373 ,1,2100538,17,"GPL NETBIOS SMB IPC$ unicode share access",TCP,192.168.2.110,3925,192.168.2.113,139,00:09:6B:E9:A9:00,00:09:6B:E9:D0:88,0x8E,***AP***,0xE0C1B96B,0x21157478,20,0xF8FB,128,0,17532,128,131072,,,
06/12-05:01:32.632690 ,1,2003068,6,"ET SCAN Potential SSH Scan OUTBOUND",TCP,192.168.1.101,4180,192.168.5.122,22,00:11:25:BB:1F:CF,00:E0:B1:87:F5:94,0x3E,******S*,0x30DFBC50,0x0,28,0x4000,128,0,9604,48,49152,,,
06/12-05:01:32.632690 ,1,2001219,19,"ET SCAN Potential SSH Scan",TCP,192.168.1.101,4180,192.168.5.122,22,00:11:25:BB:1F:CF,00:E0:B1:87:F5:94,0x3E,******S*,0x30DFBC50,0x0,28,0x4000,128,0,9604,48,49152,,,
06/12-05:01:46.660846 ,1,2003068,6,"ET SCAN Potential SSH Scan OUTBOUND",TCP,192.168.1.102,2395,192.168.5.122,22,00:11:25:BB:CE:A1,00:E0:B1:87:F5:94,0x3E,******S*,0xBC0051DB,0x0,28,0x4000,128,0,10245,48,49152,,,
06/12-05:01:46.660846 ,1,2001219,19,"ET SCAN Potential SSH Scan",TCP,192.168.1.102,2395,192.168.5.122,22,00:11:25:BB:CE:A1,00:E0:B1:87:F5:94,0x3E,******S*,0xBC0051DB,0x0,28,0x4000,128,0,10245,48,49152,,,
06/12-05:01:57.149901 ,1,2003068,6,"ET SCAN Potential SSH Scan OUTBOUND",TCP,192.168.4.121,51070,192.168.5.122,22,00:0D:60:96:AE:5C,00:E0:B1:87:F5:94,0x42,******S*,0xADF127AC,0x0,32,0x2000,128,0,29372,52,53248,,,
06/12-05:01:57.149901 ,1,2001219,19,"ET SCAN Potential SSH Scan",TCP,192.168.4.121,51070,192.168.5.122,22,00:0D:60:96:AE:5C,00:E0:B1:87:F5:94,0x42,******S*,0xADF127AC,0x0,32,0x2000,128,0,29372,52,53248,,,
06/12-05:01:57.276770 ,1,2003068,6,"ET SCAN Potential SSH Scan OUTBOUND",TCP,192.168.1.104,15841,192.168.5.122,22,00:11:25:B9:AC:22,00:E0:B1:87:F5:94,0x3E,******S*,0x9EC02071,0x0,28,0x4000,128,0,41409,48,49152,,,
06/12-05:01:57.276770 ,1,2001219,19,"ET SCAN Potential SSH Scan",TCP,192.168.1.104,15841,192.168.5.122,22,00:11:25:B9:AC:22,00:E0:B1:87:F5:94,0x3E,******S*,0x9EC02071,0x0,28,0x4000,128,0,41409,48,49152,,,
06/12-05:02:03.360026 ,1,2003068,6,"ET SCAN Potential SSH Scan OUTBOUND",TCP,192.168.2.113,4495,192.168.5.122,22,00:09:6B:E9:D0:88,00:E0:B1:87:F5:94,0x3E,******S*,0x218DA1DA,0x0,28,0xFAF0,128,0,17306,48,49152,,,
06/12-05:02:03.360026 ,1,2001219,19,"ET SCAN Potential SSH Scan",TCP,192.168.2.113,4495,192.168.5.122,22,00:09:6B:E9:D0:88,00:E0:B1:87:F5:94,0x3E,******S*,0x218DA1DA,0x0,28,0xFAF0,128,0,17306,48,49152,,,
06/12-05:02:05.055902 ,1,2003068,6,"ET SCAN Potential SSH Scan OUTBOUND",TCP,192.168.1.103,1709,192.168.5.122,22,00:11:25:BB:CE:DF,00:E0:B1:87:F5:94,0x3E,******S*,0xF63A3D30,0x0,28,0x4000,128,0,29293,48,49152,,,
06/12-05:02:05.055902 ,1,2001219,19,"ET SCAN Potential SSH Scan",TCP,192.168.1.103,1709,192.168.5.122,22,00:11:25:BB:CE:DF,00:E0:B1:87:F5:94,0x3E,******S*,0xF63A3D30,0x0,28,0x4000,128,0,29293,48,49152,,,
06/12-05:02:13.408844 ,1,2003068,6,"ET SCAN Potential SSH Scan OUTBOUND",TCP,192.168.1.102,2400,192.168.5.122,22,00:11:25:BB:CE:A1,00:E0:B1:87:F5:94,0x3E,******S*,0x2AF6A033,0x0,28,0x4000,128,0,10339,48,49152,,,
06/12-05:02:30.514953 ,1,2003068,6,"ET SCAN Potential SSH Scan OUTBOUND",TCP,192.168.2.113,4500,192.168.5.122,22,00:09:6B:E9:D0:88,00:E0:B1:87:F5:94,0x3E,******S*,0x21F03C0D,0x0,28,0xFAF0,128,0,17400,48,49152,,,
06/12-05:02:31.725266 ,1,2003068,6,"ET SCAN Potential SSH Scan OUTBOUND",TCP,192.168.1.103,1714,192.168.5.122,22,00:11:25:BB:CE:DF,00:E0:B1:87:F5:94,0x3E,******S*,0xF69B540C,0x0,28,0x4000,128,0,29387,48,49152,,,
06/12-05:02:40.208927 ,1,2003068,6,"ET SCAN Potential SSH Scan OUTBOUND",TCP,192.168.1.104,15846,192.168.5.122,22,00:11:25:B9:AC:22,00:E0:B1:87:F5:94,0x3E,******S*,0x9F5A3416,0x0,28,0x4000,128,0,42169,48,49152,,,
06/12-05:03:06.941383 ,1,2003068,6,"ET SCAN Potential SSH Scan OUTBOUND",TCP,192.168.1.104,15851,192.168.5.122,22,00:11:25:B9:AC:22,00:E0:B1:87:F5:94,0x3E,******S*,0x9FBB7C19,0x0,28,0x4000,128,0,42261,48,49152,,,
06/12-05:03:27.670375 ,1,2003068,6,"ET SCAN Potential SSH Scan OUTBOUND",TCP,192.168.1.105,16810,192.168.5.122,22,00:11:25:5F:9B:4F,00:E0:B1:87:F5:94,0x3E,******S*,0xE868B2AD,0x0,28,0x4000,128,0,10343,48,49152,,,
06/12-05:03:27.670375 ,1,2001219,19,"ET SCAN Potential SSH Scan",TCP,192.168.1.105,16810,192.168.5.122,22,00:11:25:5F:9B:4F,00:E0:B1:87:F5:94,0x3E,******S*,0xE868B2AD,0x0,28,0x4000,128,0,10343,48,49152,,,
06/12-05:03:28.887883 ,1,2001219,19,"ET SCAN Potential SSH Scan",TCP,192.168.1.104,15855,192.168.5.122,22,00:11:25:B9:AC:22,00:E0:B1:87:F5:94,0x3E,******S*,0xA00ADA43,0x0,28,0x4000,128,0,42531,48,49152,,,
06/12-05:03:37.619548 ,1,2100538,17,"GPL NETBIOS SMB IPC$ unicode share access",TCP,192.168.2.108,1217,192.168.2.113,139,00:02:55:BF:75:A9,00:09:6B:E9:D0:88,0x8E,***AP***,0xF9D31140,0x22DA274D,20,0x427B,128,0,26628,128,131072,,,
06/12-05:03:54.402106 ,1,2003068,6,"ET SCAN Potential SSH Scan OUTBOUND",TCP,192.168.1.105,16815,192.168.5.122,22,00:11:25:5F:9B:4F,00:E0:B1:87:F5:94,0x3E,******S*,0xE8CA59FA,0x0,28,0x4000,128,0,10435,48,49152,,,
06/12-05:03:55.536616 ,1,2003068,6,"ET SCAN Potential SSH Scan OUTBOUND",TCP,192.168.2.106,3165,192.168.5.122,22,00:11:25:B9:A7:ED,00:E0:B1:87:F5:94,0x3E,******S*,0x807B6C45,0x0,28,0x4000,128,0,64795,48,49152,,,
06/12-05:03:55.536616 ,1,2001219,19,"ET SCAN Potential SSH Scan",TCP,192.168.2.106,3165,192.168.5.122,22,00:11:25:B9:A7:ED,00:E0:B1:87:F5:94,0x3E,******S*,0x807B6C45,0x0,28,0x4000,128,0,64795,48,49152,,,
06/12-05:04:16.099540 ,1,2003068,6,"ET SCAN Potential SSH Scan OUTBOUND",TCP,192.168.2.107,2484,192.168.5.122,22,00:11:25:BB:D2:6F,00:E0:B1:87:F5:94,0x3E,******S*,0x2BC6CCE6,0x0,28,0x4000,128,0,34410,48,49152,,,
06/12-05:04:16.099540 ,1,2001219,19,"ET SCAN Potential SSH Scan",TCP,192.168.2.107,2484,192.168.5.122,22,00:11:25:BB:D2:6F,00:E0:B1:87:F5:94,0x3E,******S*,0x2BC6CCE6,0x0,28,0x4000,128,0,34410,48,49152,,,
