day,sid,from_addr,0,1,10,11,12,13,14,15,16,17,18,19,2,20,21,22,23,mean,median,perc_diff,std,min,max,count,sum
1900-06-14,2000334,192.168.2.107,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,216.0,173.0,24.41176470588235,0.0,2.0,64.77370109034358,0.0,216.0,3,415.0
1900-06-15,2000334,192.168.2.107,142.0,124.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.647058823529411,0.0,2.0,44.28450798031772,0.0,142.0,2,266.0
1900-06-15,2000357,192.168.2.107,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.11764705882352941,0.0,2.0,0.485071250072666,0.0,2.0,1,2.0
1900-06-14,2000369,192.168.2.107,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,0.29411764705882354,0.0,2.0,0.6859943405700354,0.0,2.0,3,5.0
1900-06-15,2000369,192.168.2.107,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.35294117647058826,0.0,2.0,0.7859052479933758,0.0,2.0,3,6.0
1900-06-15,2000418,192.168.2.107,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.058823529411764705,0.0,2.0,0.242535625036333,0.0,1.0,1,1.0
1900-06-11,2001219,123.140.178.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
1900-06-11,2001219,131.202.240.209,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
1900-06-13,2001219,131.202.240.209,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11764705882352941,0.0,2.0,0.485071250072666,0.0,2.0,1,2.0
1900-06-14,2001219,131.202.240.209,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5294117647058824,0.0,2.0,1.585782419612773,0.0,6.0,2,9.0
1900-06-17,2001219,131.202.243.90,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0588235294117647,0.0,2.0,4.365641250653994,0.0,18.0,1,18.0
1900-06-11,2001219,192.168.1.101,-0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.029411764705882353,0.0,2.0,0.27785946511310566,-0.5,1.0,2,0.5
1900-06-12,2001219,192.168.1.101,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-0.029411764705882353,0.0,2.0,0.27785946511310566,-1.0,0.5,2,-0.5
1900-06-14,2001219,192.168.1.101,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.058823529411764705,0.0,2.0,0.242535625036333,0.0,1.0,1,1.0
1900-06-15,2001219,192.168.1.101,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.058823529411764705,0.0,2.0,0.242535625036333,0.0,1.0,1,1.0
1900-06-16,2001219,192.168.1.101,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.058823529411764705,0.0,2.0,0.242535625036333,0.0,1.0,1,1.0
1900-06-17,2001219,192.168.1.101,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.058823529411764705,0.0,2.0,0.242535625036333,0.0,1.0,1,1.0
1900-06-12,2001219,192.168.1.102,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
1900-06-13,2001219,192.168.1.102,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.058823529411764705,0.0,2.0,0.24253562503633297,0.0,1.0,1,1.0
1900-06-15,2001219,192.168.1.102,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.058823529411764705,0.0,2.0,0.242535625036333,0.0,1.0,1,1.0
1900-06-16,2001219,192.168.1.102,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.058823529411764705,0.0,2.0,0.242535625036333,0.0,1.0,1,1.0
1900-06-17,2001219,192.168.1.102,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.058823529411764705,0.0,2.0,0.242535625036333,0.0,1.0,1,1.0
1900-06-11,2001219,192.168.1.103,-0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.029411764705882353,0.0,2.0,0.1212678125181665,-0.5,0.0,1,-0.5
1900-06-12,2001219,192.168.1.103,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.029411764705882353,0.0,2.0,0.1212678125181665,0.0,0.5,1,0.5
1900-06-13,2001219,192.168.1.103,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.058823529411764705,0.0,2.0,0.24253562503633297,0.0,1.0,1,1.0
1900-06-15,2001219,192.168.1.103,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.058823529411764705,0.0,2.0,0.242535625036333,0.0,1.0,1,1.0
1900-06-16,2001219,192.168.1.103,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.058823529411764705,0.0,2.0,0.242535625036333,0.0,1.0,1,1.0
1900-06-17,2001219,192.168.1.103,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.058823529411764705,0.0,2.0,0.242535625036333,0.0,1.0,1,1.0
1900-06-12,2001219,192.168.1.104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
1900-06-14,2001219,192.168.1.104,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.058823529411764705,0.0,2.0,0.242535625036333,0.0,1.0,1,1.0
1900-06-15,2001219,192.168.1.104,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.058823529411764705,0.0,2.0,0.242535625036333,0.0,1.0,1,1.0
1900-06-16,2001219,192.168.1.104,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.058823529411764705,0.0,2.0,0.242535625036333,0.0,1.0,1,1.0
1900-06-17,2001219,192.168.1.104,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.058823529411764705,0.0,2.0,0.242535625036333,0.0,1.0,1,1.0
1900-06-11,2001219,192.168.1.105,-0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.029411764705882353,0.0,2.0,0.1212678125181665,-0.5,0.0,1,-0.5
1900-06-12,2001219,192.168.1.105,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.029411764705882353,0.0,2.0,0.1212678125181665,0.0,0.5,1,0.5
1900-06-13,2001219,192.168.1.105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11764705882352941,0.0,2.0,0.485071250072666,0.0,2.0,1,2.0
1900-06-14,2001219,192.168.1.105,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.058823529411764705,0.0,2.0,0.242535625036333,0.0,1.0,1,1.0
1900-06-15,2001219,192.168.1.105,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.058823529411764705,0.0,2.0,0.242535625036333,0.0,1.0,1,1.0
1900-06-16,2001219,192.168.1.105,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.058823529411764705,0.0,2.0,0.242535625036333,0.0,1.0,1,1.0
1900-06-17,2001219,192.168.1.105,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.058823529411764705,0.0,2.0,0.242535625036333,0.0,1.0,1,1.0
1900-06-11,2001219,192.168.2.106,-0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.1767766952966369,-0.5,0.5,2,0.0
1900-06-12,2001219,192.168.2.106,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.5,0.0,0.0,0.0,0.1767766952966369,-0.5,0.5,2,0.0
1900-06-13,2001219,192.168.2.106,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.058823529411764705,0.0,2.0,0.242535625036333,0.0,1.0,1,1.0
1900-06-14,2001219,192.168.2.106,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.058823529411764705,0.0,2.0,0.242535625036333,0.0,1.0,1,1.0
1900-06-15,2001219,192.168.2.106,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.058823529411764705,0.0,2.0,0.242535625036333,0.0,1.0,1,1.0
1900-06-16,2001219,192.168.2.106,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.058823529411764705,0.0,2.0,0.242535625036333,0.0,1.0,1,1.0
1900-06-17,2001219,192.168.2.106,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.058823529411764705,0.0,2.0,0.242535625036333,0.0,1.0,1,1.0
1900-06-11,2001219,192.168.2.107,-0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.1767766952966369,-0.5,0.5,2,0.0
1900-06-12,2001219,192.168.2.107,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.5,0.0,0.0,0.0,0.1767766952966369,-0.5,0.5,2,0.0
1900-06-14,2001219,192.168.2.107,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.058823529411764705,0.0,2.0,0.242535625036333,0.0,1.0,1,1.0
1900-06-15,2001219,192.168.2.107,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.058823529411764705,0.0,2.0,0.242535625036333,0.0,1.0,1,1.0
1900-06-16,2001219,192.168.2.107,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.058823529411764705,0.0,2.0,0.242535625036333,0.0,1.0,1,1.0
1900-06-17,2001219,192.168.2.107,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.058823529411764705,0.0,2.0,0.242535625036333,0.0,1.0,1,1.0
