06/11-05:01:56.971477 ,1,2001219,19,ET SCAN Potential SSH Scan,TCP,192.168.2.111,1571,192.168.5.122,22,00:09:6B:8B:63:8E,00:E0:B1:87:F5:94,0x3E,******S*,0x8F17919C,0x0,28.0,0xFAF0,128,0,32007,48,49152,,,,,
06/11-05:27:43.679056 ,1,2001219,19,ET SCAN Potential SSH Scan,TCP,192.168.4.120,3865,192.168.5.122,22,00:11:25:BB:CF:0F,00:E0:B1:87:F5:94,0x3E,******S*,0xF6352982,0x0,28.0,0x4000,128,0,23072,48,49152,,,,,
06/11-05:38:29.030531 ,1,2002192,4,ET CHAT MSN status change,TCP,192.168.4.121,51723,65.54.189.84,1863,00:0D:60:96:AE:5C,00:E0:B1:87:F5:94,0x52,***AP***,0x9F6C2A55,0x481736D,20.0,0x1073,128,0,24303,68,69632,,,,,
06/11-05:40:05.390013 ,1,2002192,4,ET CHAT MSN status change,TCP,192.168.4.121,51723,65.54.189.84,1863,00:0D:60:96:AE:5C,00:E0:B1:87:F5:94,0x52,***AP***,0x9F6C2B09,0x481762A,20.0,0xFC4,128,0,25076,68,69632,,,,,
06/11-10:18:52.077026 ,1,2027758,2,ET DNS Query for .cc TLD,UDP,192.168.5.122,1056,198.164.30.2,53,00:22:19:20:7B:D3,00:01:02:72:AB:55,0x56,,,,,,64,0,52848,72,73728,,,,,
06/11-12:36:34.948809 ,1,2030384,2,ET POLICY Suspicious Terse Request for .bmp,TCP,192.168.3.114,4145,72.246.30.144,80,00:E0:B1:87:F5:94,00:01:02:72:AB:55,0x85,***A****,0xF4459D43,0x9DDDE5A0,20.0,0x16D0,57,0,10309,119,121856,,,,,
06/11-13:07:10.630248 ,1,2027758,2,ET DNS Query for .cc TLD,UDP,192.168.5.122,63274,198.164.30.2,53,00:22:19:20:7B:D3,00:01:02:72:AB:55,0x52,,,,,,64,0,3191,68,69632,,,,,
06/11-13:37:11.550444 ,1,2027758,2,ET DNS Query for .cc TLD,UDP,192.168.5.122,65494,198.164.30.2,53,00:22:19:20:7B:D3,00:01:02:72:AB:55,0x52,,,,,,64,0,5951,68,69632,,,,,
06/11-13:37:26.902888 ,1,2030384,2,ET POLICY Suspicious Terse Request for .bmp,TCP,192.168.3.114,4754,72.246.30.144,80,00:E0:B1:87:F5:94,00:01:02:72:AB:55,0x85,***A****,0x2A923148,0xAE649DC4,20.0,0x16D0,57,0,13229,119,121856,,,,,
06/11-13:39:12.715406 ,1,2025338,3,ET CURRENT_EVENTS LinkedIn Phishing Landing 2018-02-09 M2,TCP,64.74.98.80,80,192.168.2.113,2158,00:E0:B1:87:F5:94,00:09:6B:E9:D0:88,0x25C1,***A****,0xD09D9274,0x1BAC53B4,20.0,0xF87C,128,0,48203,9651,183444,,,,,
06/11-13:39:13.625509 ,1,2025338,3,ET CURRENT_EVENTS LinkedIn Phishing Landing 2018-02-09 M2,TCP,64.74.98.80,80,192.168.2.113,2177,00:E0:B1:87:F5:94,00:09:6B:E9:D0:88,0x25EF,***A****,0x1ECF6391,0x1C2B91DC,20.0,0xFD5C,128,0,48125,9697,230548,,,,,
