06/11-07:38:43.507589 ,1,401,6,ICMP Destination Unreachable Network Unreachable,ICMP,63.111.123.26,,192.168.5.122,,00:01:02:72:AB:55,00:E0:B1:87:F5:94,0x46,,,,,,240,0,0,56,57344,3.0,0.0,,,
06/11-07:57:07.786726 ,1,401,6,ICMP Destination Unreachable Network Unreachable,ICMP,63.111.123.26,,192.168.5.122,,00:01:02:72:AB:55,00:E0:B1:87:F5:94,0x46,,,,,,240,0,0,56,57344,3.0,0.0,,,
06/11-09:18:15.433338 ,1,401,6,ICMP Destination Unreachable Network Unreachable,ICMP,63.111.123.26,,192.168.5.122,,00:01:02:72:AB:55,00:E0:B1:87:F5:94,0x46,,,,,,240,0,0,56,57344,3.0,0.0,,,
06/11-09:18:28.630165 ,1,401,6,ICMP Destination Unreachable Network Unreachable,ICMP,63.111.123.26,,192.168.5.122,,00:01:02:72:AB:55,00:E0:B1:87:F5:94,0x46,,,,,,240,0,0,56,57344,3.0,0.0,,,
06/11-11:57:01.103073 ,1,401,6,ICMP Destination Unreachable Network Unreachable,ICMP,63.111.123.26,,192.168.5.122,,00:01:02:72:AB:55,00:E0:B1:87:F5:94,0x46,,,,,,240,0,0,56,57344,3.0,0.0,,,
06/11-13:17:42.552377 ,1,401,6,ICMP Destination Unreachable Network Unreachable,ICMP,63.111.123.26,,192.168.5.122,,00:01:02:72:AB:55,00:E0:B1:87:F5:94,0x46,,,,,,240,0,0,56,57344,3.0,0.0,,,
06/11-15:27:49.673327 ,1,401,6,ICMP Destination Unreachable Network Unreachable,ICMP,63.111.123.26,,192.168.5.122,,00:01:02:72:AB:55,00:E0:B1:87:F5:94,0x46,,,,,,240,0,0,56,57344,3.0,0.0,,,
06/11-16:28:29.519635 ,1,401,6,ICMP Destination Unreachable Network Unreachable,ICMP,63.111.123.26,,192.168.5.122,,00:01:02:72:AB:55,00:E0:B1:87:F5:94,0x46,,,,,,240,0,0,56,57344,3.0,0.0,,,
06/11-19:18:26.602250 ,1,401,6,ICMP Destination Unreachable Network Unreachable,ICMP,63.111.123.26,,192.168.5.122,,00:01:02:72:AB:55,00:E0:B1:87:F5:94,0x46,,,,,,240,0,0,56,57344,3.0,0.0,,,
06/11-22:24:26.478707 ,1,401,6,ICMP Destination Unreachable Network Unreachable,ICMP,63.111.123.26,,192.168.5.122,,00:01:02:72:AB:55,00:E0:B1:87:F5:94,0x46,,,,,,240,0,0,56,57344,3.0,0.0,,,
06/11-22:59:30.589818 ,1,399,6,ICMP Destination Unreachable Host Unreachable,ICMP,208.92.220.169,,192.168.1.103,,00:01:02:72:AB:55,00:E0:B1:87:F5:94,0x46,,,,,,245,0,0,56,57344,3.0,1.0,,,
06/12-03:52:46.467968 ,1,401,6,ICMP Destination Unreachable Network Unreachable,ICMP,63.111.123.26,,192.168.5.122,,00:01:02:72:AB:55,00:E0:B1:87:F5:94,0x46,,,,,,240,0,0,56,57344,3.0,0.0,,,
06/12-03:52:50.866808 ,1,401,6,ICMP Destination Unreachable Network Unreachable,ICMP,63.111.123.26,,192.168.5.122,,00:01:02:72:AB:55,00:E0:B1:87:F5:94,0x46,,,,,,240,0,0,56,57344,3.0,0.0,,,
06/12-04:10:59.629440 ,1,399,6,ICMP Destination Unreachable Host Unreachable,ICMP,208.92.220.169,,192.168.2.113,,00:01:02:72:AB:55,00:E0:B1:87:F5:94,0x46,,,,,,245,0,0,56,57344,3.0,1.0,,,
06/12-04:55:54.957652 ,1,401,6,ICMP Destination Unreachable Network Unreachable,ICMP,63.111.123.26,,192.168.5.122,,00:01:02:72:AB:55,00:E0:B1:87:F5:94,0x46,,,,,,240,0,0,56,57344,3.0,0.0,,,
06/13-00:32:16.197180 ,1,1841,5,WEB-CLIENT Javascript URL host spoofing attempt,TCP,64.41.151.140,80,192.168.1.104,21381,00:01:02:72:AB:55,00:E0:B1:87:F5:94,0x5EA,***AP***,0x56147C64,0x6BA2DFE9,20.0,0x11FB,240,0,59672,1500,225300,,,,,
06/13-00:32:16.300119 ,1,1841,5,WEB-CLIENT Javascript URL host spoofing attempt,TCP,64.41.151.140,80,192.168.1.104,21381,00:01:02:72:AB:55,00:E0:B1:87:F5:94,0x5EA,***A****,0x56148218,0x6BA2DFE9,20.0,0x11FB,240,0,61289,1500,225300,,,,,
06/13-00:32:16.303863 ,1,1841,5,WEB-CLIENT Javascript URL host spoofing attempt,TCP,64.41.151.140,80,192.168.1.104,21381,00:01:02:72:AB:55,00:E0:B1:87:F5:94,0x5EA,***A****,0x561487CC,0x6BA2DFE9,20.0,0x11FB,240,0,61290,1500,225300,,,,,
